Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
strollik-c4,strollik C4,"<div class=""item-description row "">
<div class=""col-md-4"">
<h3 class=""title-heading"">Information</h3>
</div>
<div class=""col-md-8"">
<p>Head out with your little one for a jog with the Strollik style, which features an adjustable canopy with a peek-a-boo window and covered sunroof for protection from the elements. The handy parent tray includes two cup holders, and the covered compartment above an extra-large storage basket allows you to carry essentials on your jog. You can connect your compatible car seat (not included) for a complete travel system, and the lightweight steel frame construction with a trigger-fold easily reduces the stroller to a compact unit for storage or travel.</p>
</div>
</div>
<div class=""item-description row"">
<div class=""col-md-4"">
<h3 class=""title-heading"">Technical specs</h3>
</div>
<div class=""col-md-8"">
<table class=""table table-bordered"">
<tbody>
<tr class="""">
<th>Stand Up:</th>
<td>35″L x 24″W x 37-45″H(front to back wheel)</td>
</tr>
<tr class="""">
<th>Folded (w/o wheels):</th>
<td>32.5″L x 18.5″W x 16.5″H</td>
</tr>
<tr class="""">
<th>Folded (w/ wheels):</th>
<td>32.5″L x 24″W x 18.5″H</td>
</tr>
<tr class="""">
<th>Door Pass Through:</th>
<td>24″</td>
</tr>
<tr class="""">
<th>Frame:</th>
<td>Aluminum</td>
</tr>
<tr class="""">
<th>Weight (w/o wheels):</th>
<td>20 LBS</td>
</tr>
<tr class="""">
<th>Weight Capacity:</th>
<td>60 LBS</td>
</tr>
<tr class="""">
<th>Width:</th>
<td>24″</td>
</tr>
<tr class="""">
<th>Handle height (ground to handle):</th>
<td>37-45″</td>
</tr>
<tr class="""">
<th>Wheels:</th>
<td>12″ air / wide track slick tread</td>
</tr>
<tr class="""">
<th>Seat back height:</th>
<td>21.5″</td>
</tr>
<tr class="""">
<th>Head room (inside canopy):</th>
<td>25″</td>
</tr>
</tbody>
</table>
</div>
</div>
<div class=""item-description row"">
<div class=""col-md-4"">
<h3 class=""title-heading"">Elements</h3>
</div>
<div class=""col-md-8""><img src=""https://cdn.shopify.com/s/files/1/1175/4850/files/image-elements.jpg?1853122762138647899"" alt=""Image elements""></div>
</div>
[owlcarousel action=""new owlcarousels"" class=""demo-carousel"" columns_item=""1"" thumbnail=""true""] [owlcarousel action=""new owlcarousel""] <img alt=""Autumn Collection 2015"" src=""//cdn.shopify.com/s/files/1/1175/4850/files/image1.jpg""> [owlcarousel action=""end owlcarousel""] [owlcarousel action=""new owlcarousel""] <img alt=""Autumn Collection 2015"" src=""//cdn.shopify.com/s/files/1/1175/4850/files/image2.jpg""> [owlcarousel action=""end owlcarousel""] [owlcarousel action=""new owlcarousel""] <img alt=""Autumn Collection 2015"" src=""//cdn.shopify.com/s/files/1/1175/4850/files/image3.jpg""> [owlcarousel action=""end owlcarousel""][owlcarousel action=""new owlcarousel""] <img alt=""Autumn Collection 2015"" src=""//cdn.shopify.com/s/files/1/1175/4850/files/image4.jpg""> [owlcarousel action=""end owlcarousel""] [owlcarousel action=""end owlcarousels""]",Ap Strollik,"","$100 - $200, L, model_classic, Red",true,Title,Default Title,,,,,"",0,,1,deny,manual,109.99,,true,true,"",https://cdn.shopify.com/s/files/1/1175/4850/products/strollik03.jpeg?v=1456202009,,false,,,,,,,,,,,,,,,,,kg
strollik-c4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/strollik03_1.jpeg?v=1456202027,,,,,,,,,,,,,,,,,,,
strollik-c4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/strollik03_3.jpeg?v=1456202038,,,,,,,,,,,,,,,,,,,
strollik-c4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/strollik03_4.jpeg?v=1456202054,,,,,,,,,,,,,,,,,,,
strollik-c4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/accessories05.jpeg?v=1456202068,,,,,,,,,,,,,,,,,,,
strollik-c4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/accessories04.jpeg?v=1456202082,,,,,,,,,,,,,,,,,,,
strollik-s3,STROLLIK S3,"<span>Head out with your little one for a jog with the Strollik style, which features an adjustable canopy with a peek-a-boo window and covered sunroof for protection from the elements. The handy parent tray includes two cup holders, and the covered compartment above an extra-large storage basket allows you to carry essentials on your jog. You can connect your compatible car seat (not included) for a complete travel system, and the lightweight steel frame construction with a trigger-fold easily reduces the stroller to a compact unit for storage or travel.</span>",Ap Strollik,Special,"Above $400, model_special, S, Yellow",true,Title,Default Title,,,,,"",0,,1,deny,manual,139.99,,true,true,"",https://cdn.shopify.com/s/files/1/1175/4850/products/strollik02.jpeg?v=1456201842,,false,,,,,,,,,,,,,,,,,kg
strollik-s3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/strollik02_1.jpeg?v=1456201918,,,,,,,,,,,,,,,,,,,
strollik-s3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/strollik02_3.jpeg?v=1456201932,,,,,,,,,,,,,,,,,,,
strollik-s3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/strollik02_4.jpeg?v=1456201948,,,,,,,,,,,,,,,,,,,
featured-product,STROLLIK E2,"<h4 class=""space-30"">Product description</h4>
<p>Head out with your little one for a jog with the Strolik in the Arctic style, which features an adjustable canopy with a peek-a-boo window and covered sunroof for protection from the elements.</p>
<p>The handy parent tray includes two cup holders, and the covered compartment above an extra-large storage basket allows you to carry essentials on your jog.</p>
<p>You can connect your compatible car seat (not included) for a complete travel system, and the lightweight steel frame.</p>",Ap Strollik,"","M, model_extend, Red, Under $50, XL, XS",true,Title,Default Title,,,,,"",0,,1,deny,manual,123.00,,true,true,"",https://cdn.shopify.com/s/files/1/1175/4850/products/strollik01.jpeg?v=1456201760,,false,,,,,,,,,,,,,,,,,kg
featured-product,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/strollik01_2.jpeg?v=1456201760,,,,,,,,,,,,,,,,,,,
featured-product,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/strollik01_3.jpeg?v=1456201780,,,,,,,,,,,,,,,,,,,
featured-product,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1175/4850/products/strollik01_1.jpeg?v=1456201799,,,,,,,,,,,,,,,,,,,
